,cust_id,cust_name,no_of_acc,email,facebook_id,twitter_id,address,city,state,postcode,cust_identity,cust_contact
52,21946,Patricia Brooks,1,PatriciaBrooks@abc.com,PatriciaBrooks10,@PatriciaBrooks,10 South Main Street ,Fair Haven,Vermont,05743,835468,616549799
53,53236,Randall Bauer,4,RandallBauer@abc.com,RandallBauer34,@RandallBauer,697 Parker Street ,Manchester,Connecticut,06042,863329,680081915
54,30370,Brian Legions,4,BrianLegions@abc.com,BrianLegions27,@BrianLegions,5065 North 54th Avenue #8,Glendale,Arizona,85301,821460,625963244
55,42644,John Spilis,4,JohnSpilis@abc.com,JohnSpilis82,@JohnSpilis,24020 Reese Road ,Anchorage,Alaska,99567,837255,606317974
56,60335,Erma Olivero,3,ErmaOlivero@abc.com,ErmaOlivero77,@ErmaOlivero,2A Cleveland Park Rd ,Freetown,Massachusetts,02717,829024,693831447
57,89871,Douglas Ayala,3,DouglasAyala@abc.com,DouglasAyala35,@DouglasAyala,125 Heritage Way ,Savannah,Georgia,31419,800722,698315665
58,94416,Anna Starr,1,AnnaStarr@abc.com,AnnaStarr8,@AnnaStarr,9605 West 62nd Place ,Arvada,Colorado,80004,856509,635680015
59,55292,Kristin Green,3,KristinGreen@abc.com,KristinGreen33,@KristinGreen,20097 Butterfield Drive ,Castro Valley,California,94546,805461,661921929
60,76332,Brinda Starbuck,1,BrindaStarbuck@abc.com,BrindaStarbuck19,@BrindaStarbuck,8401 Pinewood Drive ,Oklahoma City,Oklahoma,73135,840279,643183358
61,48423,Christine Knaub,1,ChristineKnaub@abc.com,ChristineKnaub32,@ChristineKnaub,3521 Stargate Circle ,Anchorage,Alaska,99517,809697,633575678
62,61189,Richard Davis,1,RichardDavis@abc.com,RichardDavis72,@RichardDavis,402 Tuten Avenue ,Savannah,Georgia,31415,850118,678290854
63,83216,Todd Aycock,2,ToddAycock@abc.com,ToddAycock89,@ToddAycock,712 Wilsonwood Place ,Nashville,Tennessee,37206,847230,611838400
64,84188,Candy Glover,1,CandyGlover@abc.com,CandyGlover99,@CandyGlover,1679 Frederick Michael Way ,Livermore,California,94550,874110,680572403
65,81143,Roy Dunning,4,RoyDunning@abc.com,RoyDunning49,@RoyDunning,1333 Farragut Street Northwest ,Washington,Dist. of Columbia,20011,858845,607740444
66,58626,Noel Caldwell,4,NoelCaldwell@abc.com,NoelCaldwell45,@NoelCaldwell,3701 Lake Towne Drive ,Nashville,Tennessee,37013,819474,680582345
67,59434,Jessica Miller,1,JessicaMiller@abc.com,JessicaMiller16,@JessicaMiller,240 54th Avenue North ,Nashville,Tennessee,37209,820385,667472383
68,89209,Kenneth Clark,1,KennethClark@abc.com,KennethClark15,@KennethClark,1302 Cherry Street ,Panama City,Florida,32401,856719,654310016
69,98535,Naomi Berger,1,NaomiBerger@abc.com,NaomiBerger39,@NaomiBerger,1427 H Street ,Anchorage,Alaska,99501,830446,685326440
70,80810,Lorena Gibby,4,LorenaGibby@abc.com,LorenaGibby91,@LorenaGibby,3426 Broadview Street ,Montgomery,Alabama,36110,897415,684636104
71,99985,Stephen Beck,1,StephenBeck@abc.com,StephenBeck17,@StephenBeck,3502 Cottage Cove Lane ,Panama City,Florida,32408,826776,617296988
72,99648,Chad Lloyd,2,ChadLloyd@abc.com,ChadLloyd3,@ChadLloyd,4400 Vaneto Drive ,Louisville,Kentucky,40216,874488,659532951
73,51790,Michelle Dickinson,3,MichelleDickinson@abc.com,MichelleDickinson79,@MichelleDickinson,1908 Peachtree Avenue ,Oklahoma City,Oklahoma,73121,882092,637686900
74,71977,Eric Hickox,3,EricHickox@abc.com,EricHickox29,@EricHickox,15238 North 65th Avenue ,Glendale,Arizona,85306,898784,663700426
75,25780,Anthony Pacheco,1,AnthonyPacheco@abc.com,AnthonyPacheco41,@AnthonyPacheco,1501 New Hampshire Avenue ,Lynn Haven,Florida,32444,882711,669645930
76,75002,Gerald Mitchell,1,GeraldMitchell@abc.com,GeraldMitchell80,@GeraldMitchell,2032 4th Street Northwest ,Washington,Dist. of Columbia,20001,884454,642707178
77,89421,Anne Cullum,1,AnneCullum@abc.com,AnneCullum78,@AnneCullum,17433 Teklanika Drive ,Anchorage,Alaska,99577,860990,663184794
78,31938,Dewey Clark,1,DeweyClark@abc.com,DeweyClark57,@DeweyClark,1729 Frankford Street Southeast ,Washington,Dist. of Columbia,20020,873490,606359803
79,63794,Rafaela Kueny,2,RafaelaKueny@abc.com,RafaelaKueny39,@RafaelaKueny,1256 Talbert Street Southeast ,Washington,Dist. of Columbia,20020,859773,666173139
80,22927,Barry Grinnell,3,BarryGrinnell@abc.com,BarryGrinnell72,@BarryGrinnell,8157 East Beach Drive Northwest ,Washington,Dist. of Columbia,20012,812888,670919465
81,73651,Michael Martinez,2,MichaelMartinez@abc.com,MichaelMartinez67,@MichaelMartinez,1801 Dodge Trail ,Edmond,Oklahoma,73003,860296,631507390
82,16868,Paul Freeman,2,PaulFreeman@abc.com,PaulFreeman73,@PaulFreeman,24647 Patricia Court ,Hayward,California,94541,898892,610195683
83,25307,Elizabeth Rivers,3,ElizabethRivers@abc.com,ElizabethRivers26,@ElizabethRivers,217 Northeast 1st Street ,Moore,Oklahoma,73160,843765,677338986
84,57244,Sarah Boelter,2,SarahBoelter@abc.com,SarahBoelter87,@SarahBoelter,7911 Deronia Avenue ,Louisville,Kentucky,40222,889179,609788254
85,28805,Angela Fox,3,AngelaFox@abc.com,AngelaFox17,@AngelaFox,3110 East Victory Drive ,Savannah,Georgia,31404,896301,600573444
86,16560,Charlie Bellamy,1,CharlieBellamy@abc.com,CharlieBellamy60,@CharlieBellamy,5110 East Shoshone Avenue ,Orange,California,92867,879628,673868206
87,80010,Wayne Delafuente,2,WayneDelafuente@abc.com,WayneDelafuente20,@WayneDelafuente,2330 39th Street Northwest ,Washington,Dist. of Columbia,20007,877061,683732868
88,60215,Jimmy Campbell,2,JimmyCampbell@abc.com,JimmyCampbell21,@JimmyCampbell,1990 Poplar Ridge Road ,Pasadena,Maryland,21122,853050,667648079
89,16132,Eva Smyer,2,EvaSmyer@abc.com,EvaSmyer63,@EvaSmyer,1838 Crofton Parkway ,Crofton,Maryland,21114,806266,607072173
90,84994,Sonia Jenkins,2,SoniaJenkins@abc.com,SoniaJenkins64,@SoniaJenkins,4927 Alvin Sperry Road ,Mount Juliet,Tennessee,37122,879452,694064099
91,57305,Wilfred Peters,2,WilfredPeters@abc.com,WilfredPeters29,@WilfredPeters,16910 Alpine Drive ,Pioneer,California,95666,871309,658654664
92,77659,Daniel Gonzalez,1,DanielGonzalez@abc.com,DanielGonzalez73,@DanielGonzalez,3146 North Old Wire Road ,Fayetteville,Arkansas,72703,836427,643657176
93,47704,Herbert Jenkins,1,HerbertJenkins@abc.com,HerbertJenkins42,@HerbertJenkins,3298 Chestnut Street Northwest ,Washington,Dist. of Columbia,20015,862563,650154792
94,38644,Louise Gordon,2,LouiseGordon@abc.com,LouiseGordon47,@LouiseGordon,7645 Marshall Street ,Arvada,Colorado,80003,825995,650051876
95,44347,Susan Behne,3,SusanBehne@abc.com,SusanBehne62,@SusanBehne,23622 Greatland Drive ,Anchorage,Alaska,99567,819429,633789491
96,12730,James Dewaard,1,JamesDewaard@abc.com,JamesDewaard38,@JamesDewaard,24 Amherst Drive ,Manchester,Connecticut,06042,838152,628190084
97,46596,Robert Gable,1,RobertGable@abc.com,RobertGable13,@RobertGable,622 Elaine Drive ,Nashville,Tennessee,37211,843071,636035015
98,26415,Donald Davis,2,DonaldDavis@abc.com,DonaldDavis16,@DonaldDavis,80 North East Street #4,Holyoke,Massachusetts,01040,833463,687553484
99,98525,Stephen Routzahn,1,StephenRoutzahn@abc.com,StephenRoutzahn69,@StephenRoutzahn,242 North Ash Street ,Fruita,Colorado,81521,833147,680133613
100,55336,Matthew Ritter,4,MatthewRitter@abc.com,MatthewRitter57,@MatthewRitter,22207 Quinterno Court ,Cupertino,California,95014,859976,626361992
101,27722,Vincent Garris,1,VincentGarris@abc.com,VincentGarris54,@VincentGarris,420 Cove Villa Street ,Panama City Beach,Florida,32407,857615,651675237
102,65473,Kerry Arreaga,4,KerryArreaga@abc.com,KerryArreaga39,@KerryArreaga,72 Milford Road ,Manchester,Connecticut,06042,850371,640570879
103,28768,Sonya Dill,3,SonyaDill@abc.com,SonyaDill72,@SonyaDill,3179 18th Street Northwest ,Washington,Dist. of Columbia,20010,875348,689189544
104,86095,Juanita Murray,1,JuanitaMurray@abc.com,JuanitaMurray66,@JuanitaMurray,2522 South College Drive ,Fayetteville,Arkansas,72701,875586,670259706
105,83837,Tamara Ross,1,TamaraRoss@abc.com,TamaraRoss71,@TamaraRoss,1456 East 39th Street ,Savannah,Georgia,31404,876944,617730219
106,99486,Charles Starrick,2,CharlesStarrick@abc.com,CharlesStarrick55,@CharlesStarrick,8295 Moss Circle ,Arvada,Colorado,80007,801476,633708619
107,60935,Beverly Swirsky,1,BeverlySwirsky@abc.com,BeverlySwirsky35,@BeverlySwirsky,718 Newhall Drive ,Nashville,Tennessee,37206,851811,615181121
108,54939,Sarah Harber,2,SarahHarber@abc.com,SarahHarber84,@SarahHarber,8573 North 63rd Drive ,Glendale,Arizona,85302,813643,661816235
109,28188,Martha Putnam,3,MarthaPutnam@abc.com,MarthaPutnam13,@MarthaPutnam,1 Blue Jay Terrace ,Wareham,Massachusetts,02571,810472,630323738
110,66392,Robin Stewart,4,RobinStewart@abc.com,RobinStewart45,@RobinStewart,117 Adelaide Road ,Manchester,Connecticut,06040,862523,692919517
111,58637,Marian Kirn,2,MarianKirn@abc.com,MarianKirn92,@MarianKirn,4971 Janet Court ,Livermore,California,94550,839094,651905288
112,29774,Patricia Taylor,3,PatriciaTaylor@abc.com,PatriciaTaylor58,@PatriciaTaylor,137 East 53rd Avenue ,Anchorage,Alaska,99518,817272,670325642
113,24571,Rosetta Johnson,2,RosettaJohnson@abc.com,RosettaJohnson10,@RosettaJohnson,327 Fairway Boulevard ,Panama City Beach,Florida,32407,866537,696291423
114,55550,Clara Edwards,3,ClaraEdwards@abc.com,ClaraEdwards27,@ClaraEdwards,6208 Ingalls Street ,Arvada,Colorado,80003,854740,615439776
115,61437,Adam Phillips,1,AdamPhillips@abc.com,AdamPhillips87,@AdamPhillips,2649 Firewood Drive ,Fayetteville,Arkansas,72703,831030,657793325
116,90705,Rachel Howard,2,RachelHoward@abc.com,RachelHoward26,@RachelHoward,908 Lodge Hill Road ,Louisville,Kentucky,40223,885313,664993706
117,64998,Rickey Wendt,1,RickeyWendt@abc.com,RickeyWendt42,@RickeyWendt,2508 Grant Avenue ,Panama City,Florida,32405,873958,667152032
118,51768,Edward Snapp,1,EdwardSnapp@abc.com,EdwardSnapp86,@EdwardSnapp,369 Ruth Avenue ,Mountain View,California,94043,837763,679902029
119,69196,John Crosley,3,JohnCrosley@abc.com,JohnCrosley93,@JohnCrosley,640 Hilliard Street #6000,Manchester,Connecticut,06042,853480,625012942
120,46814,Carol Finley,4,CarolFinley@abc.com,CarolFinley97,@CarolFinley,6216 West Bloomfield Road ,Glendale,Arizona,85304,890377,632766049
121,87071,Pamela Wren,4,PamelaWren@abc.com,PamelaWren3,@PamelaWren,19803 North Mitkof Loop ,Anchorage,Alaska,99577,818035,689704783
122,69109,Rhonda Orcutt,3,RhondaOrcutt@abc.com,RhondaOrcutt24,@RhondaOrcutt,5706 Worchester Drive ,Montgomery,Alabama,36116,871625,686191009
123,19545,Robert Wrona,1,RobertWrona@abc.com,RobertWrona49,@RobertWrona,225 Almond Street #3E,Fall River,Massachusetts,02721,854790,644244904
124,61370,Elizabeth Stevens,4,ElizabethStevens@abc.com,ElizabethStevens74,@ElizabethStevens,5601 West Crocus Drive ,Glendale,Arizona,85306,836945,693825312
125,26810,Jose Letarte,2,JoseLetarte@abc.com,JoseLetarte26,@JoseLetarte,6451 West Bell Road #1144,Glendale,Arizona,85308,899865,677236568
126,17784,Denise Andrzejewski,2,DeniseAndrzejewski@abc.com,DeniseAndrzejewski48,@DeniseAndrzejewski,125 13th Street Northeast ,Washington,Dist. of Columbia,20002,867991,613730648
127,31750,Heather Rodrequez,4,HeatherRodrequez@abc.com,HeatherRodrequez7,@HeatherRodrequez,7309 Live Oak Court ,Montgomery,Alabama,36117,800142,683795603
128,50888,Aracelis Montgomery,2,AracelisMontgomery@abc.com,AracelisMontgomery40,@AracelisMontgomery,1700 William E Summers III Avenue #201,Louisville,Kentucky,40211,878179,654561941
129,44735,Mark Crocker,4,MarkCrocker@abc.com,MarkCrocker22,@MarkCrocker,8300 Dover Way ,Arvada,Colorado,80005,842586,604808525
130,30974,Mitchell Lataille,4,MitchellLataille@abc.com,MitchellLataille52,@MitchellLataille,66 Bradford Road ,Braintree,Massachusetts,02184,886321,638188700
131,94261,Richard Kyung,2,RichardKyung@abc.com,RichardKyung29,@RichardKyung,6515 West Poinsettia Drive ,Glendale,Arizona,85304,850532,627380059
132,58414,Kelsey Pierce,4,KelseyPierce@abc.com,KelseyPierce93,@KelseyPierce,4216 Winter Lake Drive ,Louisville,Kentucky,40272,843359,628115042
133,45249,William Ferris,1,WilliamFerris@abc.com,WilliamFerris7,@WilliamFerris,42 Edison Road ,Manchester,Connecticut,06040,803758,615569497
134,62384,Theresa Rosales,1,TheresaRosales@abc.com,TheresaRosales11,@TheresaRosales,7090 West 64th Avenue ,Arvada,Colorado,80003,849478,666771959
135,65066,Jessie Albano,1,JessieAlbano@abc.com,JessieAlbano40,@JessieAlbano,225 Kennedy Road ,Manchester,Connecticut,06042,825648,611888266
136,77815,Timothy Albro,2,TimothyAlbro@abc.com,TimothyAlbro39,@TimothyAlbro,4024 Northwest 16th Street ,Oklahoma City,Oklahoma,73107,839275,643669657
137,36495,Marquita Pagan,4,MarquitaPagan@abc.com,MarquitaPagan56,@MarquitaPagan,386 Pratt Road ,nan,Vermont,05033,806926,663153151
138,85008,Mary Stobie,1,MaryStobie@abc.com,MaryStobie2,@MaryStobie,2246 West Fairview Avenue ,Montgomery,Alabama,36108,801072,694309597
139,62791,Kelly Jackson,2,KellyJackson@abc.com,KellyJackson91,@KellyJackson,5302 1st Street Northwest ,Washington,Dist. of Columbia,20011,818144,644600366
140,86872,Yvonne Creach,4,YvonneCreach@abc.com,YvonneCreach94,@YvonneCreach,10996 Largo Drive ,Savannah,Georgia,31419,889904,627144269
141,43953,Dennis Slowik,1,DennisSlowik@abc.com,DennisSlowik10,@DennisSlowik,71 Racine Road ,nan,Vermont,05468,815576,668698179
142,23748,Kim Medina,3,KimMedina@abc.com,KimMedina17,@KimMedina,5549 West Hearn Road ,Glendale,Arizona,85306,882161,664275826
143,47626,Ruben Gillette,1,RubenGillette@abc.com,RubenGillette66,@RubenGillette,2320 Northwest 113th Place ,Oklahoma City,Oklahoma,73120,842360,646250675
144,17646,Luis Daley,2,LuisDaley@abc.com,LuisDaley40,@LuisDaley,1046 Dudley Avenue ,Louisville,Kentucky,40204,836312,690580482
145,58418,Wesley Groom,4,WesleyGroom@abc.com,WesleyGroom12,@WesleyGroom,2327 Pomeroy Road Southeast ,Washington,Dist. of Columbia,20020,833032,607024741
146,18812,Betty Siske,1,BettySiske@abc.com,BettySiske78,@BettySiske,4600 Ritchie Highway ,Baltimore,Maryland,21225,815024,601613999
147,11330,Bettye Stine,3,BettyeStine@abc.com,BettyeStine83,@BettyeStine,26 Garfield Street ,Bristol,Vermont,05443,881643,663526775
148,54620,Denise Vanbuskirk,2,DeniseVanbuskirk@abc.com,DeniseVanbuskirk77,@DeniseVanbuskirk,562 South Pierremont Drive ,Fayetteville,Arkansas,72701,849583,674025201
149,46056,Maurice Jimenez,2,MauriceJimenez@abc.com,MauriceJimenez86,@MauriceJimenez,4719 Bayou Bluff Trail ,Lynn Haven,Florida,32444,831095,605331484
150,64289,Kenneth Brown,3,KennethBrown@abc.com,KennethBrown43,@KennethBrown,125 Connors Street #516,Gardner,Massachusetts,01440,877183,681123756
151,12263,Jean Sanders,4,JeanSanders@abc.com,JeanSanders47,@JeanSanders,4231 Laurel Street #APT 000101,Anchorage,Alaska,99508,828298,655519960
152,22208,Elizabeth Forbes,4,ElizabethForbes@abc.com,ElizabethForbes48,@ElizabethForbes,1559 Alabama Avenue Southeast ,Washington,Dist. of Columbia,20032,892665,624042035
153,69173,Gracie Somers,4,GracieSomers@abc.com,GracieSomers5,@GracieSomers,12091 Mierkey Road ,Jackson,California,95642,865279,621289330
154,51612,Lori Holcomb,3,LoriHolcomb@abc.com,LoriHolcomb36,@LoriHolcomb,1623 Mines Road ,Lowell,Vermont,05847,853043,686649494
155,31927,Jeremy Gunderson,2,JeremyGunderson@abc.com,JeremyGunderson97,@JeremyGunderson,6739 Taft Court ,Arvada,Colorado,80004,860497,692600090
156,49534,Elaine Kilday,4,ElaineKilday@abc.com,ElaineKilday95,@ElaineKilday,435 East 5th Avenue ,Anchorage,Alaska,99501,810217,629150408
157,94906,Elayne Uutela,1,ElayneUutela@abc.com,ElayneUutela56,@ElayneUutela,106 Parker Parkway ,Mexico Beach,Florida,32456,822487,678940678
158,33421,Claire Ellis,3,ClaireEllis@abc.com,ClaireEllis18,@ClaireEllis,3179 18th Street Northwest ,Washington,Dist. of Columbia,20010,860158,678001796
159,50536,Mark Treible,2,MarkTreible@abc.com,MarkTreible59,@MarkTreible,1630 Eton Way ,Crofton,Maryland,21114,892185,661599097
160,92388,Michael Blaine,1,MichaelBlaine@abc.com,MichaelBlaine5,@MichaelBlaine,2577 Rhode Island Avenue Northeast ,Washington,Dist. of Columbia,20018,854830,678978443
161,68028,Cora Garrison,2,CoraGarrison@abc.com,CoraGarrison63,@CoraGarrison,6 Greenleaf Drive A,Merrimac,Massachusetts,01860,862568,673730373
162,60068,Albert Levitz,2,AlbertLevitz@abc.com,AlbertLevitz80,@AlbertLevitz,6225 West Citrus Way ,Glendale,Arizona,85301,857423,617520496
163,34141,Willie Jones,3,WillieJones@abc.com,WillieJones21,@WillieJones,1324 Beddington Park ,Nashville,Tennessee,37215,876230,646142941
164,45684,Michael Melcher,4,MichaelMelcher@abc.com,MichaelMelcher49,@MichaelMelcher,1 Pond View Road ,Proctor,Vermont,05765,841945,682904619
165,71358,Eugene Michael,4,EugeneMichael@abc.com,EugeneMichael73,@EugeneMichael,646 Clinton Street ,Montgomery,Alabama,36108,821562,610242502
166,49235,Linda Bennett,2,LindaBennett@abc.com,LindaBennett23,@LindaBennett,9515 West 74th Avenue ,Arvada,Colorado,80005,817678,670787551
167,65922,George Sylvester,1,GeorgeSylvester@abc.com,GeorgeSylvester95,@GeorgeSylvester,30 Tanner Street ,Manchester,Connecticut,06042,879266,697635907
168,23960,Nancy Hatchett,3,NancyHatchett@abc.com,NancyHatchett97,@NancyHatchett,1990 Poplar Ridge Road ,Pasadena,Maryland,21122,841815,667483503
169,44263,Jeff Trout,3,JeffTrout@abc.com,JeffTrout97,@JeffTrout,2527 Lisenby Avenue ,Panama City,Florida,32405,885069,654124358
170,70348,Jeremy Villarreal,2,JeremyVillarreal@abc.com,JeremyVillarreal18,@JeremyVillarreal,2732 Rosedale Place ,Nashville,Tennessee,37211,899042,695767000
171,45792,Lena Cox,1,LenaCox@abc.com,LenaCox85,@LenaCox,4132 Northwest 57th Street ,Oklahoma City,Oklahoma,73112,817004,672287526
