tx_ref,post_date_time,tx_amt,tx_payee,tx_payee_acc,tx_payee_name,tx_payee_acc_bal,tx_payee_email,tx_payee_facebook_id,tx_payee_twitter_id,tx_payee_cust_identity,tx_payee_cust_contact,tx_payee_address,tx_payee_city,tx_payee_state,tx_payee_postcode,tx_ben,tx_ben_acc,tx_ben_name,tx_ben_acc_bal,tx_ben_email,tx_ben_facebook_id,tx_ben_twitter_id,tx_ben_cust_identity,tx_ben_cust_contact,tx_ben_address,tx_ben_city,tx_ben_state,tx_ben_postcode,tx_remark,doc_ref,level,watch_name,watch_label,alert_score
TX2020030919580000080356,20200309195854,1966.67,41346,10000002286,Leisa Ramey,-11650.069999999987,LeisaRamey@abc.com,LeisaRamey44,@LeisaRamey,880134,601478536,7529 Perryman Court ,,Maryland,21226,38324,10000020248,Virginia Erwin,-82598.87999999999,VirginiaErwin@abc.com,VirginiaErwin4,@VirginiaErwin,883088,695552334,7931 West 55th Avenue #219,Arvada,Colorado,80002,Leisa Ramey to Virginia Erwin,https://ew.com/books/ronan-farrow-dylan-farrow-criticize-woody-allen-memoir-publisher/,0.1,Leisa Ramey,PERSON,1.0
TX2020030919580000091351,20200309195854,8250.76,41346,10000002286,Leisa Ramey,-3399.309999999989,LeisaRamey@abc.com,LeisaRamey44,@LeisaRamey,880134,601478536,7529 Perryman Court ,,Maryland,21226,90184,10000012068,Jack Haley,-6692.259999999978,JackHaley@abc.com,JackHaley80,@JackHaley,821058,687359059,6739 Taft Court ,Arvada,Colorado,80004,Leisa Ramey to Jack Haley,https://ew.com/books/ronan-farrow-dylan-farrow-criticize-woody-allen-memoir-publisher/,0.1,Leisa Ramey,PERSON,1.0
TX2020030919580000092396,20200309195854,6644.04,41346,10000002286,Leisa Ramey,3244.7300000000114,LeisaRamey@abc.com,LeisaRamey44,@LeisaRamey,880134,601478536,7529 Perryman Court ,,Maryland,21226,27220,10000010474,Lisa Wilson,-41124.26,LisaWilson@abc.com,LisaWilson94,@LisaWilson,827765,626515286,56 Channing Drive ,Manchester,Connecticut,6040,Leisa Ramey to Lisa Wilson,https://ew.com/books/ronan-farrow-dylan-farrow-criticize-woody-allen-memoir-publisher/,0.1,Leisa Ramey,PERSON,1.0
TX2020030919580000093404,20200309195854,5581.45,41346,10000002286,Leisa Ramey,8826.180000000011,LeisaRamey@abc.com,LeisaRamey44,@LeisaRamey,880134,601478536,7529 Perryman Court ,,Maryland,21226,24506,10000010471,Tracey Karl,21026.58,TraceyKarl@abc.com,TraceyKarl40,@TraceyKarl,820117,608424602,8726 Downey Road ,Severn,Maryland,21144,Leisa Ramey to Tracey Karl,https://ew.com/books/ronan-farrow-dylan-farrow-criticize-woody-allen-memoir-publisher/,0.1,Leisa Ramey,PERSON,1.0
TX2020030919580000097449,20200309195854,4258.13,41346,10000002285,Leisa Ramey,51071.60999999999,LeisaRamey@abc.com,LeisaRamey44,@LeisaRamey,880134,601478536,7529 Perryman Court ,,Maryland,21226,28097,10000004832,Carlos Fetters,74824.08000000003,CarlosFetters@abc.com,CarlosFetters39,@CarlosFetters,801276,666729564,4604 West 19th Court ,Panama City,Florida,32405,Leisa Ramey to Carlos Fetters,https://ew.com/books/ronan-farrow-dylan-farrow-criticize-woody-allen-memoir-publisher/,0.1,Leisa Ramey,PERSON,1.0
TX2020030919580000104801,20200309195854,1701.97,41346,10000002285,Leisa Ramey,52773.58,LeisaRamey@abc.com,LeisaRamey44,@LeisaRamey,880134,601478536,7529 Perryman Court ,,Maryland,21226,69261,10000012545,Dixie Perkins,-32454.79,DixiePerkins@abc.com,DixiePerkins62,@DixiePerkins,850589,665807916,8801 North 63rd Drive ,Glendale,Arizona,85302,Leisa Ramey to Dixie Perkins,https://ew.com/books/ronan-farrow-dylan-farrow-criticize-woody-allen-memoir-publisher/,0.1,Leisa Ramey,PERSON,1.0
TX2020030919580000123511,20200309195854,4071.22,41346,10000002286,Leisa Ramey,12897.40000000001,LeisaRamey@abc.com,LeisaRamey44,@LeisaRamey,880134,601478536,7529 Perryman Court ,,Maryland,21226,70366,10000005557,Deloris Dombrowski,-20743.31000000001,DelorisDombrowski@abc.com,DelorisDombrowski35,@DelorisDombrowski,820876,625007933,302 Mcmillin Street ,Nashville,Tennessee,37203,Leisa Ramey to Deloris Dombrowski,https://ew.com/books/ronan-farrow-dylan-farrow-criticize-woody-allen-memoir-publisher/,0.1,Leisa Ramey,PERSON,1.0
TX2020030919580000125547,20200309195854,976.89,41346,10000002286,Leisa Ramey,13874.29000000001,LeisaRamey@abc.com,LeisaRamey44,@LeisaRamey,880134,601478536,7529 Perryman Court ,,Maryland,21226,20197,10000005650,Helen Ivie,-28502.410000000014,HelenIvie@abc.com,HelenIvie15,@HelenIvie,887984,638082480,17020 West 64th Drive ,Arvada,Colorado,80007,Leisa Ramey to Helen Ivie,https://ew.com/books/ronan-farrow-dylan-farrow-criticize-woody-allen-memoir-publisher/,0.1,Leisa Ramey,PERSON,1.0
TX2020030919580000134118,20200309195854,2955.42,41346,10000002286,Leisa Ramey,7911.46000000001,LeisaRamey@abc.com,LeisaRamey44,@LeisaRamey,880134,601478536,7529 Perryman Court ,,Maryland,21226,68068,10000004355,Maria Hinson,-6625.440000000001,MariaHinson@abc.com,MariaHinson4,@MariaHinson,833774,619349737,8150 North 61st Avenue #3128,Glendale,Arizona,85302,Leisa Ramey to Maria Hinson,https://ew.com/books/ronan-farrow-dylan-farrow-criticize-woody-allen-memoir-publisher/,0.1,Leisa Ramey,PERSON,1.0
TX2020030919580000175440,20200309195854,1491.02,41346,10000002286,Leisa Ramey,6193.37000000001,LeisaRamey@abc.com,LeisaRamey44,@LeisaRamey,880134,601478536,7529 Perryman Court ,,Maryland,21226,14535,10000006999,Amanda Lautman,-25760.709999999992,AmandaLautman@abc.com,AmandaLautman66,@AmandaLautman,801373,684015717,1938 Arcadian Street ,Savannah,Georgia,31405,Leisa Ramey to Amanda Lautman,https://ew.com/books/ronan-farrow-dylan-farrow-criticize-woody-allen-memoir-publisher/,0.1,Leisa Ramey,PERSON,1.0
TX2020030919580000188125,20200309195854,9143.78,41346,10000002285,Leisa Ramey,55380.93,LeisaRamey@abc.com,LeisaRamey44,@LeisaRamey,880134,601478536,7529 Perryman Court ,,Maryland,21226,94840,10000021714,Darlene Sheffield,-55887.67,DarleneSheffield@abc.com,DarleneSheffield24,@DarleneSheffield,861458,608330793,1234 Carmel Street ,Madera,California,93638,Leisa Ramey to Darlene Sheffield,https://ew.com/books/ronan-farrow-dylan-farrow-criticize-woody-allen-memoir-publisher/,0.1,Leisa Ramey,PERSON,1.0
TX2020030919580000195050,20200309195854,5649.02,41346,10000002286,Leisa Ramey,4078.3600000000106,LeisaRamey@abc.com,LeisaRamey44,@LeisaRamey,880134,601478536,7529 Perryman Court ,,Maryland,21226,36988,10000002974,James Elvin,-39633.13000000001,JamesElvin@abc.com,JamesElvin82,@JamesElvin,816077,694672373,1505 Rosewood Avenue #11,Louisville,Kentucky,40204,Leisa Ramey to James Elvin,https://ew.com/books/ronan-farrow-dylan-farrow-criticize-woody-allen-memoir-publisher/,0.1,Leisa Ramey,PERSON,1.0
TX2020030919580000207535,20200309195854,6565.33,41346,10000002285,Leisa Ramey,53770.17,LeisaRamey@abc.com,LeisaRamey44,@LeisaRamey,880134,601478536,7529 Perryman Court ,,Maryland,21226,67749,10000004160,David Ellis,93252.75999999997,DavidEllis@abc.com,DavidEllis88,@DavidEllis,850315,638992759,14213 Doc Hawley Street ,Louisville,Kentucky,40245,Leisa Ramey to David Ellis,https://ew.com/books/ronan-farrow-dylan-farrow-criticize-woody-allen-memoir-publisher/,0.1,Leisa Ramey,PERSON,1.0
TX2020030919580000217554,20200309195854,1856.17,41346,10000002286,Leisa Ramey,-16916.98999999999,LeisaRamey@abc.com,LeisaRamey44,@LeisaRamey,880134,601478536,7529 Perryman Court ,,Maryland,21226,35064,10000005860,Hannah Gunnerson,79421.38999999997,HannahGunnerson@abc.com,HannahGunnerson40,@HannahGunnerson,856686,600069318,1334 East 14th Avenue #APT 000004,Anchorage,Alaska,99501,Leisa Ramey to Hannah Gunnerson,https://ew.com/books/ronan-farrow-dylan-farrow-criticize-woody-allen-memoir-publisher/,0.1,Leisa Ramey,PERSON,1.0
TX2020030919580000237139,20200309195854,8863.05,41346,10000002286,Leisa Ramey,-11821.169999999993,LeisaRamey@abc.com,LeisaRamey44,@LeisaRamey,880134,601478536,7529 Perryman Court ,,Maryland,21226,50319,10000022751,James Bohr,62667.38000000003,JamesBohr@abc.com,JamesBohr31,@JamesBohr,837631,636247369,2821 Tyson Place ,Louisville,Kentucky,40218,Leisa Ramey to James Bohr,https://ew.com/books/ronan-farrow-dylan-farrow-criticize-woody-allen-memoir-publisher/,0.1,Leisa Ramey,PERSON,1.0
TX2020030919580000241833,20200309195854,7210.27,41346,10000002285,Leisa Ramey,60980.44,LeisaRamey@abc.com,LeisaRamey44,@LeisaRamey,880134,601478536,7529 Perryman Court ,,Maryland,21226,50801,10000013966,Grace Bliss,-27939.18000000001,GraceBliss@abc.com,GraceBliss64,@GraceBliss,817003,611390975,13360 West 83rd Place ,Arvada,Colorado,80005,Leisa Ramey to Grace Bliss,https://ew.com/books/ronan-farrow-dylan-farrow-criticize-woody-allen-memoir-publisher/,0.1,Leisa Ramey,PERSON,1.0
TX2020030919580000243226,20200309195854,5267.39,41346,10000002286,Leisa Ramey,-6553.779999999992,LeisaRamey@abc.com,LeisaRamey44,@LeisaRamey,880134,601478536,7529 Perryman Court ,,Maryland,21226,37067,10000003585,Deborah Barker,48205.87,DeborahBarker@abc.com,DeborahBarker12,@DeborahBarker,858682,639888141,3098 Vermont 122 ,Sheffield,Vermont,5866,Leisa Ramey to Deborah Barker,https://ew.com/books/ronan-farrow-dylan-farrow-criticize-woody-allen-memoir-publisher/,0.1,Leisa Ramey,PERSON,1.0
TX2020030919580000249731,20200309195854,1731.12,41346,10000002285,Leisa Ramey,62711.56000000001,LeisaRamey@abc.com,LeisaRamey44,@LeisaRamey,880134,601478536,7529 Perryman Court ,,Maryland,21226,81597,10000006994,Christine Walker,-43561.849999999984,ChristineWalker@abc.com,ChristineWalker87,@ChristineWalker,865295,696586495,287 Lawndale Drive ,Nashville,Tennessee,37211,Leisa Ramey to Christine Walker,https://ew.com/books/ronan-farrow-dylan-farrow-criticize-woody-allen-memoir-publisher/,0.1,Leisa Ramey,PERSON,1.0
TX2020030919580000250100,20200309195854,3914.24,41346,10000002286,Leisa Ramey,-2639.5399999999913,LeisaRamey@abc.com,LeisaRamey44,@LeisaRamey,880134,601478536,7529 Perryman Court ,,Maryland,21226,31110,10000018398,Mark Beddo,6830.42,MarkBeddo@abc.com,MarkBeddo38,@MarkBeddo,809223,696330138,1040 West 27th Avenue #APT 000401,Anchorage,Alaska,99503,Leisa Ramey to Mark Beddo,https://ew.com/books/ronan-farrow-dylan-farrow-criticize-woody-allen-memoir-publisher/,0.1,Leisa Ramey,PERSON,1.0
TX2020030919580000268661,20200309195854,1736.51,41346,10000002285,Leisa Ramey,57452.53000000001,LeisaRamey@abc.com,LeisaRamey44,@LeisaRamey,880134,601478536,7529 Perryman Court ,,Maryland,21226,66553,10000007494,George Morring,-44171.60000000001,GeorgeMorring@abc.com,GeorgeMorring57,@GeorgeMorring,844129,677694269,623 Rhode Island Avenue Northwest ,Washington,Dist. of Columbia,20001,Leisa Ramey to George Morring,https://ew.com/books/ronan-farrow-dylan-farrow-criticize-woody-allen-memoir-publisher/,0.1,Leisa Ramey,PERSON,1.0
TX2020030919580000296312,20200309195854,186.89,41346,10000002286,Leisa Ramey,-3957.189999999991,LeisaRamey@abc.com,LeisaRamey44,@LeisaRamey,880134,601478536,7529 Perryman Court ,,Maryland,21226,74524,10000015118,Lorine Ferguson,60788.64,LorineFerguson@abc.com,LorineFerguson37,@LorineFerguson,885754,603976167,4350 Woodley Square ,Montgomery,Alabama,36116,Leisa Ramey to Lorine Ferguson,https://ew.com/books/ronan-farrow-dylan-farrow-criticize-woody-allen-memoir-publisher/,0.1,Leisa Ramey,PERSON,1.0
TX2020030919580000297814,20200309195854,7865.06,41346,10000002286,Leisa Ramey,3907.87000000001,LeisaRamey@abc.com,LeisaRamey44,@LeisaRamey,880134,601478536,7529 Perryman Court ,,Maryland,21226,48458,10000019991,Sharon Mckenney,-49068.87999999996,SharonMckenney@abc.com,SharonMckenney25,@SharonMckenney,816455,666088717,185 Woodlawn Road ,Burlington,Vermont,5408,Leisa Ramey to Sharon Mckenney,https://ew.com/books/ronan-farrow-dylan-farrow-criticize-woody-allen-memoir-publisher/,0.1,Leisa Ramey,PERSON,1.0
TX2020030919580000329744,20200309195854,1816.27,41346,10000002285,Leisa Ramey,59268.8,LeisaRamey@abc.com,LeisaRamey44,@LeisaRamey,880134,601478536,7529 Perryman Court ,,Maryland,21226,60211,10000021332,Kala Branum,-52840.97000000001,KalaBranum@abc.com,KalaBranum64,@KalaBranum,876098,652294645,71 Racine Road ,,Vermont,5468,Leisa Ramey to Kala Branum,https://ew.com/books/ronan-farrow-dylan-farrow-criticize-woody-allen-memoir-publisher/,0.1,Leisa Ramey,PERSON,1.0
TX2020030919580000360041,20200309195854,4231.7,41346,10000002286,Leisa Ramey,-3356.2699999999904,LeisaRamey@abc.com,LeisaRamey44,@LeisaRamey,880134,601478536,7529 Perryman Court ,,Maryland,21226,42275,10000005779,Ellan Phillips,-45165.58999999999,EllanPhillips@abc.com,EllanPhillips40,@EllanPhillips,842454,694926969,2147 Millhaven Drive ,Edgewater,Maryland,21037,Leisa Ramey to Ellan Phillips,https://ew.com/books/ronan-farrow-dylan-farrow-criticize-woody-allen-memoir-publisher/,0.1,Leisa Ramey,PERSON,1.0
TX2020030919580000369637,20200309195854,4520.49,41346,10000002286,Leisa Ramey,1164.2200000000093,LeisaRamey@abc.com,LeisaRamey44,@LeisaRamey,880134,601478536,7529 Perryman Court ,,Maryland,21226,87111,10000007736,Evelyn Buchholz,-170984.1,EvelynBuchholz@abc.com,EvelynBuchholz55,@EvelynBuchholz,848095,698327634,6 Greenleaf Drive A,Merrimac,Massachusetts,1860,Leisa Ramey to Evelyn Buchholz,https://ew.com/books/ronan-farrow-dylan-farrow-criticize-woody-allen-memoir-publisher/,0.1,Leisa Ramey,PERSON,1.0
TX2020030919580000382937,20200309195854,6148.0,41346,10000002286,Leisa Ramey,7312.220000000008,LeisaRamey@abc.com,LeisaRamey44,@LeisaRamey,880134,601478536,7529 Perryman Court ,,Maryland,21226,45410,10000003881,John Smith,-48671.75,JohnSmith@abc.com,JohnSmith17,@JohnSmith,802831,641816611,82 Linnmore Drive ,Manchester,Connecticut,6040,Leisa Ramey to John Smith,https://ew.com/books/ronan-farrow-dylan-farrow-criticize-woody-allen-memoir-publisher/,0.1,Leisa Ramey,PERSON,1.0
TX2020030919580000391477,20200309195854,6817.79,41346,10000002286,Leisa Ramey,14130.01000000001,LeisaRamey@abc.com,LeisaRamey44,@LeisaRamey,880134,601478536,7529 Perryman Court ,,Maryland,21226,82202,10000014331,Arthur Diaz,-65635.08999999997,ArthurDiaz@abc.com,ArthurDiaz10,@ArthurDiaz,861541,631467680,218 Oleander Drive ,Panama City Beach,Florida,32413,Leisa Ramey to Arthur Diaz,https://ew.com/books/ronan-farrow-dylan-farrow-criticize-woody-allen-memoir-publisher/,0.1,Leisa Ramey,PERSON,1.0
TX2020030919580000395540,20200309195854,2168.82,41346,10000002285,Leisa Ramey,49690.12,LeisaRamey@abc.com,LeisaRamey44,@LeisaRamey,880134,601478536,7529 Perryman Court ,,Maryland,21226,84317,10000010297,Deborah Gunter,-33269.180000000015,DeborahGunter@abc.com,DeborahGunter81,@DeborahGunter,832397,606171294,6902 West Sherri Jean Lane ,Peoria,Arizona,85382,Leisa Ramey to Deborah Gunter,https://ew.com/books/ronan-farrow-dylan-farrow-criticize-woody-allen-memoir-publisher/,0.1,Leisa Ramey,PERSON,1.0
TX2020030919580000399397,20200309195854,9564.86,41346,10000002285,Leisa Ramey,59254.98,LeisaRamey@abc.com,LeisaRamey44,@LeisaRamey,880134,601478536,7529 Perryman Court ,,Maryland,21226,17399,10000017887,Charles Scurry,24382.46999999999,CharlesScurry@abc.com,CharlesScurry82,@CharlesScurry,880078,662899315,9472 Noble Way ,Arvada,Colorado,80007,Leisa Ramey to Charles Scurry,https://ew.com/books/ronan-farrow-dylan-farrow-criticize-woody-allen-memoir-publisher/,0.1,Leisa Ramey,PERSON,1.0
TX2020030919580000410444,20200309195854,8822.26,41346,10000002286,Leisa Ramey,22952.27000000001,LeisaRamey@abc.com,LeisaRamey44,@LeisaRamey,880134,601478536,7529 Perryman Court ,,Maryland,21226,83336,10000014487,Michael Morrison,-49442.76000000002,MichaelMorrison@abc.com,MichaelMorrison63,@MichaelMorrison,804859,622803176,2220 Kirk Avenue ,Nashville,Tennessee,37218,Leisa Ramey to Michael Morrison,https://ew.com/books/ronan-farrow-dylan-farrow-criticize-woody-allen-memoir-publisher/,0.1,Leisa Ramey,PERSON,1.0
TX2020030919580000433883,20200309195854,9258.54,41346,10000002286,Leisa Ramey,30958.62000000001,LeisaRamey@abc.com,LeisaRamey44,@LeisaRamey,880134,601478536,7529 Perryman Court ,,Maryland,21226,32025,10000022125,Clarence Fields,-103733.07999999993,ClarenceFields@abc.com,ClarenceFields89,@ClarenceFields,833676,600087803,584 Westford Street #2,Lowell,Massachusetts,1851,Leisa Ramey to Clarence Fields,https://ew.com/books/ronan-farrow-dylan-farrow-criticize-woody-allen-memoir-publisher/,0.1,Leisa Ramey,PERSON,1.0
TX2020030919580000436493,20200309195854,1337.54,41346,10000002285,Leisa Ramey,43720.42000000001,LeisaRamey@abc.com,LeisaRamey44,@LeisaRamey,880134,601478536,7529 Perryman Court ,,Maryland,21226,98296,10000013432,Heather Lee,113093.15999999995,HeatherLee@abc.com,HeatherLee30,@HeatherLee,877223,658889556,9222 Sandra Grace Road ,Southport,Florida,32409,Leisa Ramey to Heather Lee,https://ew.com/books/ronan-farrow-dylan-farrow-criticize-woody-allen-memoir-publisher/,0.1,Leisa Ramey,PERSON,1.0
TX2020030919580000438768,20200309195854,6834.11,41346,10000002286,Leisa Ramey,29463.400000000016,LeisaRamey@abc.com,LeisaRamey44,@LeisaRamey,880134,601478536,7529 Perryman Court ,,Maryland,21226,48649,10000002468,Roderick Tedford,40283.25000000003,RoderickTedford@abc.com,RoderickTedford19,@RoderickTedford,818286,612373234,13583 West 68th Avenue ,Arvada,Colorado,80004,Leisa Ramey to Roderick Tedford,https://ew.com/books/ronan-farrow-dylan-farrow-criticize-woody-allen-memoir-publisher/,0.1,Leisa Ramey,PERSON,1.0
